#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
17,Ukraine,"1,410,061","+3,261","27,204",+76,"1,199,229","183,628",177,"32,376",625,"7,062,386","162,156","43,553,042"
18,Indonesia,"1,392,945","+6,389","37,757",+210,"1,210,877","144,311",,"5,056",137,"11,266,592","40,895","275,498,485"
19,Peru,"1,374,467",,"47,973",,"1,282,228","44,266","2,199","41,294","1,441","7,940,435","238,559","33,284,942"
20,Czechia,"1,335,815","+10,466","22,147",+110,"1,150,634","163,034","1,789","124,579","2,065","8,877,876","827,959","10,722,601"
21,Netherlands,"1,123,909",,"15,861",,N/A,N/A,558,"65,493",924,"6,970,400","406,180","17,160,859"
22,Canada,"890,698",,"22,276",,"838,090","30,332",549,"23,459",587,"25,276,119","665,716","37,968,298"
23,Chile,"860,533",,"21,163",,"809,941","29,429","1,821","44,753","1,101","9,783,544","508,808","19,228,349"
24,Romania,"835,552","+4,989","21,056",+93,"767,219","47,277","1,126","43,633","1,100","6,574,329","343,318","19,149,398"
25,Portugal,"810,459",,"16,565",,"732,346","61,548",342,"79,642","1,628","8,404,911","825,931","10,176,285"
26,Israel,"806,841","+2,250","5,922",+7,"762,269","38,650",668,"87,723",644,"12,581,283","1,367,889","9,197,590"
27,Belgium,"789,008","+1,117","22,292",+31,"53,588","713,128",425,"67,877","1,918","9,793,185","842,485","11,624,163"
28,Iraq,"735,626","+4,610","13,618",+22,"668,153","53,855",428,"18,015",333,"7,194,244","176,178","40,835,047"
29,Sweden,"695,975",,"13,042",+34,N/A,N/A,216,"68,621","1,286","6,378,529","628,900","10,142,351"
30,Philippines,"600,428","+2,668","12,528",+7,"546,078","41,822",785,"5,430",113,"9,098,973","82,287","110,575,589"
31,Pakistan,"593,453","+1,353","13,281",+54,"563,823","16,349","1,644","2,652",59,"9,278,613","41,458","223,807,847"
32,Switzerland,"566,412","+1,378","10,062",+6,"521,912","34,438",167,"65,121","1,157","5,286,832","607,828","8,697,905"
33,Bangladesh,"552,087",+912,"8,489",+13,"505,349","38,249",,"3,330",51,"4,180,938","25,215","165,810,015"
34,Serbia,"489,530",,"4,579",,"400,347","84,604",176,"56,183",526,"3,055,280","350,650","8,713,183"
35,Morocco,"486,325",,"8,683",,"472,544","5,098",257,"13,070",233,"5,733,709","154,094","37,209,092"
36,Austria,"479,391","+2,411","8,757",+25,"447,041","23,593",338,"53,021",969,"5,778,608","639,116","9,041,567"
37,Hungary,"475,207","+6,494","16,146",+158,"338,946","120,115",833,"49,277","1,674","3,891,778","403,565","9,643,503"
38,Japan,"439,992",,"8,253",,"419,229","12,510",380,"3,486",65,"8,602,569","68,161","126,210,473"
39,Jordan,"435,130",,"4,987",,"371,454","58,689",469,"42,359",485,"4,910,795","478,061","10,272,316"
40,UAE,"415,705","+2,373","1,345",+10,"396,433","17,927",,"41,688",135,"32,641,019","3,273,289","9,971,934"
41,Lebanon,"397,887",,"5,089",,"312,747","80,051",925,"58,475",748,"3,159,807","464,375","6,804,435"
42,Saudi Arabia,"380,572",+390,"6,539",+5,"371,338","2,695",515,"10,817",186,"14,076,117","400,081","35,183,143"
43,Panama,"345,236",,"5,934",,"332,219","7,083",195,"79,164","1,361","1,968,196","451,315","4,361,025"
44,Slovakia,"323,786",,"7,921",,"255,300","60,565",740,"59,286","1,450","2,126,553","389,375","5,461,456"
45,Malaysia,"316,269","+1,280","1,186",+9,"296,379","18,704",155,"9,687",36,"6,597,363","202,070","32,648,832"
46,Belarus,"297,514","+1,073","2,055",+8,"288,049","7,410",,"31,492",218,"5,025,044","531,909","9,447,190"
47,Ecuador,"294,618",,"16,043",,"256,009","22,566",534,"16,528",900,"1,040,011","58,344","17,825,560"
48,Nepal,"274,869",+59,"3,012",+1,"270,987",870,,"9,320",102,"2,199,950","74,592","29,493,295"
49,Georgia,"273,137",+139,"3,601",+10,"267,015","2,521",,"68,560",904,"2,860,823","718,094","3,983,909"
50,Bulgaria,"263,303",,"10,764",,"214,115","38,424",503,"38,091","1,557","1,761,628","254,849","6,912,446"
51,Bolivia,"254,736",+463,"11,845",+22,"199,000","43,891",71,"21,622","1,005","764,495","64,889","11,781,577"
52,Croatia,"247,099",+491,"5,621",+19,"238,121","3,357",78,"60,447","1,375","1,396,129","341,531","4,087,853"
53,Dominican Republic,"243,526",,"3,179",,"198,386","41,961",187,"22,296",291,"1,232,699","112,862","10,922,206"
54,Tunisia,"238,017",,"8,225",,"202,994","26,798",274,"19,996",691,"1,008,003","84,684","11,903,062"
55,Azerbaijan,"236,963",,"3,247",,"229,789","3,927",,"23,228",318,"2,653,375","260,093","10,201,624"
56,Ireland,"223,651",,"4,422",,"23,364","195,865",95,"44,951",889,"3,644,460","732,491","4,975,436"
57,Kazakhstan,"219,325",+571,"2,819",,"202,694","13,812",221,"11,586",149,"7,822,859","413,253","18,929,955"
58,Denmark,"215,791",+527,"2,381",,"206,421","6,989",38,"37,166",410,"18,364,726","3,162,965","5,806,175"
59,Costa Rica,"206,640",,"2,833",,"187,484","16,323",133,"40,313",553,"700,259","136,612","5,125,902"
60,Greece,"206,281",,"6,797",,"176,078","23,406",477,"19,858",654,"5,578,001","536,963","10,388,052"
61,Lithuania,"202,900",+462,"3,341",+4,"189,070","10,489",148,"75,257","1,239","2,182,242","809,413","2,696,081"
62,Kuwait,"201,898",,"1,133",,"187,122","13,643",180,"46,805",263,"1,859,578","431,096","4,313,604"
63,Palestine,"200,382","+1,828","2,170",+13,"178,121","20,091",155,"38,670",419,"1,245,509","240,359","5,181,861"
64,Slovenia,"196,421",+740,"3,904",+7,"181,915","10,602",90,"94,473","1,878","950,058","456,949","2,079,134"
65,Moldova,"195,602",,"4,129",,"172,242","19,231",323,"48,566","1,025","746,785","185,420","4,027,524"
66,Egypt,"187,094",,"11,038",,"144,485","31,571",90,"1,805",106,"1,000,000","9,648","103,646,770"
67,Guatemala,"178,770",,"6,479",,"165,315","6,976",5,"9,855",357,"948,010","52,258","18,140,947"
68,Armenia,"175,198",+182,"3,232",+7,"165,096","6,870",,"59,048","1,089","755,348","254,580","2,967,040"
69,Honduras,"174,243",+514,"4,283",+23,"68,085","101,875",416,"17,404",428,"461,743","46,120","10,011,881"
70,Paraguay,"169,860",,"3,343",,"141,682","24,835",296,"23,617",465,"781,916","108,716","7,192,310"
71,Qatar,"167,888",+471,264,+1,"156,612","11,012",116,"59,793",94,"1,591,056","566,655","2,807,805"
72,Ethiopia,"167,133",,"2,442",,"138,639","26,052",435,"1,430",21,"2,184,745","18,690","116,893,789"
73,Nigeria,"158,906",,"1,982",,"138,502","18,422",10,758,9,"1,601,396","7,640","209,602,672"
74,Oman,"144,831",+427,"1,597",+3,"135,005","8,229",75,"27,881",307,"1,550,000","298,385","5,194,626"
75,Venezuela,"142,774",,"1,391",,"134,839","6,544",124,"5,031",49,"2,962,352","104,379","28,380,595"
76,Myanmar,"142,045",,"3,200",,"131,679","7,166",,"2,599",59,"2,503,765","45,807","54,659,310"
77,Libya,"140,688","+1,030","2,297",+9,"128,002","10,389",,"20,287",331,"762,485","109,947","6,934,995"
78,Bosnia and Herzegovina,"137,291",,"5,297",,"118,720","13,274",,"42,026","1,621","689,431","211,043","3,266,781"
79,Bahrain,"127,255",,473,,"120,489","6,293",57,"73,074",272,"3,210,185","1,843,399","1,741,449"
80,Algeria,"114,382",,"3,018",,"79,187","32,177",19,"2,577",68,,,"44,389,670"
81,Albania,"113,580",,"1,956",,"75,887","35,737",46,"39,497",680,"487,445","169,508","2,875,640"
82,Kenya,"109,164",,"1,879",,"87,623","19,662",74,"2,000",34,"1,336,614","24,491","54,575,300"
83,North Macedonia,"107,479",,"3,206",,"95,410","8,863",124,"51,590","1,539","544,816","261,514","2,083,315"
84,S. Korea,"93,263",+446,"1,645",+3,"83,900","7,718",128,"1,818",32,"6,902,984","134,563","51,299,447"
85,Latvia,"90,997",+472,"1,705",+6,"80,892","8,400",84,"48,614",911,"1,600,474","855,034","1,871,826"
86,Kyrgyzstan,"86,606",+23,"1,475",+2,"83,606","1,525",16,"13,127",224,"770,225","116,745","6,597,473"
87,Ghana,"86,465",,647,,"80,952","4,866",90,"2,744",21,"925,611","29,372","31,513,493"
88,Sri Lanka,"86,039",,507,,"82,753","2,779",,"4,007",24,"2,194,290","102,180","21,474,736"
89,Zambia,"82,655",,"1,132",,"78,721","2,802",201,"4,412",60,"1,134,704","60,575","18,732,330"
90,Uzbekistan,"80,247",+28,622,,"78,939",686,27,"2,374",18,"1,377,915","40,767","33,799,755"
91,Montenegro,"80,191",,"1,085",,"70,137","8,969",69,"127,668","1,727","294,734","469,231","628,121"
92,Estonia,"77,491","+1,308",669,+2,"57,206","19,616",53,"58,389",504,"994,902","749,655","1,327,147"
93,Norway,"76,154",+384,632,,"66,014","9,508",19,"13,973",116,"3,910,562","717,505","5,450,223"
94,Uruguay,"64,700",,658,,"55,638","8,404",87,"18,581",189,"1,072,137","307,910","3,481,977"
95,Finland,"63,110",+588,774,,"46,000","16,336",37,"11,378",140,"3,512,031","633,184","5,546,622"
